district_id,event_index,event_volume,mean_intensity,max_intensity,duration,peak_anomaly,rise_gradient,decay_gradient,rcvr,rainfall_type,rainfall_type_name
1009006,0,98.59920000000001,19.71984,31.9183,5,193.7804,12.35982,16.156460000000003,5.0,4,Type 4
1009006,1,93.1866,23.29665,33.0185,4,182.3807,12.69915,16.737624999999998,4.0,4,Type 4
1009006,2,6.6166,6.6166,6.6166,1,160.6976,0.0,0.0,1.0,0,Type 0
1009006,3,6.1771,6.1771,6.1771,1,136.6244,0.0,0.0,1.0,0,Type 0
1009006,4,18.5391,18.5391,18.5391,1,136.6488,0.0,0.0,1.0,0,Type 0
1009006,5,153.8975,30.779500000000002,41.1032,5,226.3147,5.5019599999999995,19.18748,5.0,4,Type 4
1009006,6,10.6333,10.6333,10.6333,1,90.7542,0.0,0.0,1.0,0,Type 0
1009006,7,6.7364,6.7364,6.7364,1,46.5497,0.0,0.0,1.0,0,Type 0
1009006,8,66.19800000000001,16.549500000000002,39.2445,4,217.1907,-5.963775,5.558275000000002,4.0,4,Type 4
1009006,9,67.6917,16.922925,31.8456,4,193.3986,-0.3379499999999993,7.949175,4.0,4,Type 4
1009006,10,86.99340000000001,14.4989,25.6261,6,203.5639,4.057833333333333,10.0635,6.0,5,Type 5
1009006,11,6.7191,6.7191,6.7191,1,157.3385,0.0,0.0,1.0,0,Type 0
1009006,12,5.1711,5.1711,5.1711,1,53.3873,0.0,0.0,1.0,0,Type 0
1009006,13,7.2785,7.2785,7.2785,1,51.6481,0.0,0.0,1.0,0,Type 0
1009006,14,101.2009,20.240180000000002,39.9201,5,193.4299,13.949540000000002,17.64986,5.0,4,Type 4
1009006,15,16.2683,16.2683,16.2683,1,127.0247,0.0,0.0,1.0,0,Type 0
1009006,16,12.8539,12.8539,12.8539,1,182.8894,0.0,0.0,1.0,0,Type 0
1009006,17,17.2719,17.2719,17.2719,1,129.2927,0.0,0.0,1.0,0,Type 0
1009006,18,37.1371,37.1371,37.1371,1,167.1268,0.0,0.0,1.0,0,Type 0
1009006,19,59.6953,29.84765,38.4675,2,213.3766,-7.954699999999999,10.037599999999998,2.0,2,Type 2
1009006,20,5.709,5.709,5.709,1,148.7559,0.0,0.0,1.0,0,Type 0
1009006,21,10.068,10.068,10.068,1,87.4725,0.0,0.0,1.0,0,Type 0
1009006,22,77.64229999999999,19.410574999999998,34.3942,4,165.7074,0.7170749999999995,9.616575,4.0,4,Type 4
1009006,23,6.4586,6.4586,6.4586,1,117.3776,0.0,0.0,1.0,0,Type 0
1009006,24,9.164,9.164,9.164,1,56.178,0.0,0.0,1.0,0,Type 0
